date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
05/04/2007,94.12,94.68,93.52,94.68,12694786,0.053,0.43%,12.1335,N/A,N/A
09/04/2007,95.21,95.3,93.04,93.65,14759384,-0.132,-1.09%,12.0015,N/A,N/A
10/04/2007,93.67,94.258,93.41,94.25,12587789,0.077,0.64%,12.0784,N/A,N/A
11/04/2007,93.9,93.95,92.33,92.59,19589644,-0.213,-1.76%,11.8656,N/A,N/A
12/04/2007,92.04,92.31,90.72,92.19,23298325,-0.051,-0.43%,11.8144,N/A,N/A
13/04/2007,90.9,91.4001,90.0599,90.24,25695716,-0.25,-2.12%,11.5645,N/A,N/A
16/04/2007,90.57,91.5,90.25,91.43,21322050,0.152,1.32%,11.717,N/A,N/A
17/04/2007,92,92.3,89.7,90.35,26843351,-0.138,-1.18%,11.5786,N/A,N/A
18/04/2007,90.16,90.85,89.6,90.4,16566295,0.006,0.06%,11.585,N/A,N/A
19/04/2007,90.19,91.25,89.83,90.27,15207898,-0.017,-0.14%,11.5683,N/A,N/A
20/04/2007,90.889,91.18,90.55,90.97,18707500,0.09,0.78%,11.658,N/A,N/A
23/04/2007,91.585,93.8,91.42,93.51,27866631,0.326,2.79%,11.9835,N/A,N/A
24/04/2007,93.96,96.39,91.3,93.24,37673038,-0.035,-0.29%,11.9489,N/A,N/A
25/04/2007,94.23,95.4,93.8,95.348,41135113,0.27,2.26%,12.2191,N/A,N/A
26/04/2007,101.58,102.5,98.3,98.84,62037413,0.448,3.66%,12.6666,N/A,N/A
27/04/2007,98.18,99.95,97.69,99.92,24976917,0.138,1.09%,12.805,N/A,N/A
30/04/2007,100.09,101,99.67,99.8,21999605,-0.015,-0.12%,12.7896,N/A,N/A
01/05/2007,99.59,100.35,98.55,99.47,19014345,-0.042,-0.33%,12.7473,N/A,N/A
02/05/2007,99.65,100.54,99.47,100.39,18040257,0.118,0.92%,12.8652,N/A,N/A
03/05/2007,100.73,101.45,100.01,100.4,20572222,0.001,0.01%,12.8665,N/A,N/A
04/05/2007,100.8,101.6,100.5,100.81,13642327,0.053,0.41%,12.919,N/A,N/A
07/05/2007,101.08,104.35,101.01,103.92,30765511,0.399,3.09%,13.3176,N/A,N/A
08/05/2007,101.08,105.15,103.42,105.06,27999148,0.146,1.10%,13.4637,N/A,N/A
09/05/2007,104.91,106.96,104.89,106.88,25626232,0.233,1.73%,13.6969,N/A,N/A
10/05/2007,106.63,108.84,105.92,107.34,42751471,0.059,0.43%,13.7559,N/A,N/A
11/05/2007,107.74,109.13,106.78,108.74,23258278,0.179,1.30%,13.9353,N/A,N/A
14/05/2007,109.62,110,108.25,109.36,23283156,0.079,0.57%,14.0147,N/A,N/A
15/05/2007,109.57,110.2,106.48,107.52,34088562,-0.236,-1.68%,13.7789,N/A,N/A
16/05/2007,108.53,108.83,103.42,107.34,40242176,-0.023,-0.17%,13.7559,N/A,N/A
17/05/2007,107.15,109.87,107.15,109.44,26254369,0.269,1.96%,14.025,N/A,N/A
18/05/2007,110.23,110.64,109.77,110.02,22167764,0.074,0.53%,14.0993,N/A,N/A
21/05/2007,110.31,112.45,110.05,111.98,22853248,0.251,1.78%,14.3505,N/A,N/A
22/05/2007,112.49,113.75,112.01,113.54,20442342,0.2,1.39%,14.5504,N/A,N/A
23/05/2007,114.02,115,112.59,112.89,32542197,-0.083,-0.57%,14.4671,N/A,N/A
24/05/2007,112.81,114.46,110.37,110.69,31688672,-0.282,-1.95%,14.1852,N/A,N/A
25/05/2007,112,113.78,111.5,113.62,22599431,0.375,2.65%,14.5607,N/A,N/A
29/05/2007,114.45,114.86,112.69,114.35,23034597,0.094,0.64%,14.6542,N/A,N/A
30/05/2007,114.3,118.88,113.53,118.77,52788213,0.566,3.87%,15.2207,N/A,N/A
31/05/2007,120.07,122.17,119.541,121.191,46198965,0.31,2.04%,15.5309,N/A,N/A
01/06/2007,121.1,121.19,118.29,118.4,31561746,-0.358,-2.30%,15.1732,N/A,N/A
04/06/2007,118.63,121.73,117.9,121.33,31643782,0.375,2.47%,15.5487,N/A,N/A
05/06/2007,121.41,122.69,120.5,122.67,32567176,0.172,1.10%,15.7204,N/A,N/A
06/06/2007,122.3,124.05,121.95,123.64,39712359,0.124,0.79%,15.8448,N/A,N/A
07/06/2007,124.99,127.61,123.19,124.069,68420217,0.055,0.35%,15.8997,N/A,N/A
08/06/2007,125.825,125.83,122.29,124.49,44305135,0.054,0.34%,15.9537,N/A,N/A
11/06/2007,126,126.15,119.54,120.19,66932644,-0.551,-3.45%,15.4026,N/A,N/A
12/06/2007,119.35,121.71,118.31,120.38,50913545,0.024,0.16%,15.427,N/A,N/A
13/06/2007,121.15,121.19,115.4,117.5,61472551,-0.369,-2.39%,15.0579,N/A,N/A
14/06/2007,117.2,119.45,116.42,118.75,34757034,0.16,1.06%,15.2181,N/A,N/A
15/06/2007,120.62,120.67,119.86,120.5,28996250,0.224,1.47%,15.4424,N/A,N/A
18/06/2007,123.28,125.18,122.54,125.09,32553503,0.588,3.81%,16.0306,N/A,N/A
19/06/2007,124.69,125.01,122.91,123.66,33315351,-0.183,-1.14%,15.8473,N/A,N/A
20/06/2007,123.87,124.66,121.5,121.55,32039539,-0.27,-1.71%,15.5769,N/A,N/A
21/06/2007,121.7,124.29,120.72,123.9,30950293,0.301,1.93%,15.8781,N/A,N/A
22/06/2007,123.85,124.45,122.38,123,22533022,-0.115,-0.73%,15.7627,N/A,N/A
25/06/2007,124.19,125.09,121.06,122.34,34468200,-0.085,-0.54%,15.6782,N/A,N/A
